date,product,quantity,price,customer_id,order_id
2024-01-01,Phone,2,500,101,1
2024-01-02,Laptop,1,800,102,2
2024-01-03,Headphones,3,100,103,3
2024-02-01,Phone,1,500,101,4
2024-02-10,Laptop,2,800,104,5
2024-03-05,Tablet,1,300,105,6
2024-03-10,Phone,2,500,101,7
2024-04-12,Camera,1,600,106,8
2024-05-15,Phone,3,500,107,9
2024-06-18,Laptop,1,800,102,10
2024-07-20,Tablet,2,300,105,11
2024-08-25,Phone,1,500,101,12
2024-09-05,Camera,2,600,106,13
2024-10-10,Headphones,4,100,108,14
2024-11-15,Phone,2,500,109,15
2024-12-20,Laptop,1,800,102,16
