date,product,quantity,price,region
2023-01-15,Laptop Dell Inspiron,1,899.99,USA
2023-01-16,Mouse Logitech Wireless,2,29.99,USA
2023-01-17,iPhone 14 Pro,1,1099.99,USA
2023-01-18,T-Shirt Cotton White,5,19.99,Europe
2023-01-19,Headphones Sony WH-1000XM5,1,349.99,USA
2023-01-20,Desk Wooden Office,1,199.99,Canada
2023-01-21,Book Python Programming,3,39.99,USA
2023-01-22,Running Shoes Nike Air,1,129.99,Europe
2023-01-23,Monitor LG 27inch,1,249.99,USA
2023-01-24,Keyboard Mechanical RGB,1,89.99,Australia
2023-01-25,Jeans Levi's 501,2,59.99,Europe
2023-01-26,Coffee Maker Nespresso,1,149.99,USA
2023-01-27,Bike Mountain Trek,1,699.99,Canada
2023-01-28,Pillow Memory Foam,4,45.99,USA
2023-01-29,Smart Watch Apple,1,399.99,USA
2023-01-30,Blender Vitamix,1,449.99,USA
2023-01-31,Table Dining Oak,1,799.99,Europe
2023-02-01,Flash Drive 128GB,5,19.99,USA
2023-02-02,Sofa Leather Modern,1,1299.99,USA
2023-02-03,Novel Fantasy Series,2,24.99,Canada
2023-02-04,Yoga Mat Thick,3,29.99,Europe
2023-02-05,SSD 1TB Samsung,2,99.99,USA
2023-02-06,Backpack Hiking North Face,1,149.99,Australia
2023-02-07,Microwave Stainless,1,179.99,USA
2023-02-08,Sweater Wool Cashmere,1,89.99,Europe
2023-02-09,Drone DJI Mini,1,499.99,USA
2023-02-10,Lamp Floor Adjustable,2,79.99,Canada
2023-02-11,Earbuds AirPods Pro,2,249.99,USA
2023-02-12,Rug Persian Style,1,299.99,Europe
2023-02-13,Tablet iPad Air,1,599.99,USA
2023-02-14,Camera Canon EOS,1,899.99,Australia
2023-02-15,Pants Cargo Khaki,3,39.99,USA
2023-02-16,Toaster 4-Slice,2,49.99,Canada
2023-02-17,Speaker Bluetooth JBL,1,129.99,Europe
2023-02-18,Chair Gaming RGB,1,299.99,USA
2023-02-19,Shampoo Organic,6,12.99,USA
2023-02-20,TV OLED 55inch,1,1499.99,USA
2023-02-21,Sneakers Adidas Ultraboost,1,179.99,Europe
2023-02-22,Printer Laser HP,1,249.99,Canada
2023-02-23,Backpack Laptop,2,59.99,Australia
2023-02-24,Mixer Stand KitchenAid,1,399.99,USA
2023-02-25,Dress Summer Floral,1,69.99,Europe
2023-02-26,Weights Dumbbell Set,1,199.99,USA
2023-02-27,Refrigerator Samsung,1,999.99,Canada
2023-02-28,Notebook Spiral,10,5.99,USA
2023-03-01,Power Bank Anker,3,39.99,Europe
2023-03-02,Bed Frame Queen,1,499.99,USA
2023-03-03,Smart Bulb Philips Hue,4,59.99,Australia
2023-03-04,Skirt Pleated Black,2,49.99,Europe
2023-03-05,Washing Machine LG,1,799.99,USA
2023-03-06,Mouse Pad Large,5,15.99,Canada
2023-03-07,Air Fryer Ninja,1,129.99,USA
2023-03-08,Blazer Wool Gray,1,199.99,Europe
2023-03-09,Treadmill Folding,1,599.99,USA
2023-03-10,USB Cable Set,8,9.99,Australia
2023-03-11,Curtains Blackout,2,79.99,USA
2023-03-12,Phone Case iPhone,3,24.99,Canada
2023-03-13,Oven Toaster Convection,1,179.99,Europe
2023-03-14,Wallet Leather RFID,2,49.99,USA
2023-03-15,Fitness Tracker Fitbit,1,149.99,Australia
2023-03-16,Suitcase Hard Shell,1,199.99,Europe
2023-03-17,Kettle Electric,3,39.99,USA
2023-03-18,Gaming Mouse Razer,1,79.99,Canada
2023-03-19,Sunglasses Ray-Ban,2,159.99,Europe
2023-03-20,Carpet Area Rug,1,249.99,USA
2023-03-21,Headphones Over-Ear Bose,1,349.99,Australia
2023-03-22,Shoes Hiking Merrell,1,139.99,USA
2023-03-23,Blender Handheld,2,59.99,Canada
2023-03-24,TV Bracket Wall Mount,1,49.99,Europe
2023-03-25,Laptop Stand Adjustable,2,39.99,USA
2023-03-26,Perfume Chanel No5,1,129.99,Australia
2023-03-27,Iron Steam Philips,1,69.99,Europe
2023-03-28,Bar Stool Leather,2,149.99,USA
2023-03-29,Water Bottle Insulated,5,29.99,Canada
2023-03-30,Scanner Flatbed,1,199.99,USA
2023-03-31,Coat Trench Long,1,299.99,Europe
2023-04-01,Projector Portable,1,399.99,Australia
2023-04-02,Sheets Cotton 1000TC,1,129.99,USA
2023-04-03,Earbuds True Wireless,3,89.99,Canada
2023-04-04,Boot Rain Waterproof,2,99.99,Europe
2023-04-05,Robot Vacuum Roomba,1,599.99,USA
2023-04-06,Desk Lamp LED,3,45.99,Australia
2023-04-07,Case Phone Otterbox,4,39.99,USA
2023-04-08,Dishwasher Bosch,1,899.99,Canada
2023-04-09,Towel Bath Set,6,29.99,Europe
2023-04-10,Soundbar Samsung,1,299.99,USA
2023-04-11,Bike Road Carbon,1,1999.99,Australia
2023-04-12,Purse Designer Leather,1,249.99,Europe
2023-04-13,Fan Tower Oscillating,2,79.99,USA
2023-04-14,GPS Garmin Watch,1,449.99,Canada
2023-04-15,Umbrella Golf Size,3,29.99,Europe
2023-04-16,Mattress Topper Gel,1,199.99,USA
2023-04-17,Heater Space Ceramic,1,89.99,Australia
2023-04-18,Gloves Leather Driving,2,59.99,USA
2023-04-19,Scale Digital Kitchen,4,24.99,Canada
2023-04-20,Frame Picture Digital,1,149.99,Europe
2023-04-21,Grill Electric Indoor,1,129.99,USA
2023-04-22,Bin Trash Motion Sensor,2,69.99,Australia
2023-04-23,Shaver Electric Braun,1,179.99,Europe
2023-04-24,Pillowcase Silk Set,5,39.99,USA
2023-04-25,Hub USB 4-Port,3,29.99,Canada
2023-04-26,Steamer Garment,1,79.99,Europe
2023-04-27,Speaker Portable Ultimate Ears,2,149.99,USA
2023-04-28,Cooler Portable Igloo,1,99.99,Australia
2023-04-29,Belt Leather Reversible,3,49.99,USA
2023-04-30,Humidifier Ultrasonic,1,69.99,Canada
2023-05-01,Adapter Travel Universal,4,24.99,Europe
2023-05-02,Duvet Insert Down,1,199.99,USA
2023-05-03,Clipper Hair Wahl,1,59.99,Australia
2023-05-04,Strap Watch NATO,5,19.99,USA
2023-05-05,Organizer Cable,6,12.99,Canada
